DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(0.130m);Dir#1(0.130m);Speed#2(0.160m);Dir#2(0.160m);Speed#3(0.190m);Dir#3(0.190m);Speed#4(0.220m);Dir#4(0.220m);Speed#5(0.250m);Dir#5(0.250m);Speed#6(0.280m);Dir#6(0.280m);Speed#7(0.310m);Dir#7(0.310m);Speed#8(0.340m);Dir#8(0.340m);Speed#9(0.370m);Dir#9(0.370m);Speed#10(0.400m);Dir#10(0.400m);Speed#11(0.430m);Dir#11(0.430m);Speed#12(0.460m);Dir#12(0.460m);Speed#13(0.490m);Dir#13(0.490m);Speed#14(0.520m);Dir#14(0.520m);Speed#15(0.550m);Dir#15(0.550m);Speed#16(0.580m);Dir#16(0.580m);Speed#17(0.610m);Dir#17(0.610m);Speed#18(0.640m);Dir#18(0.640m);Speed#19(0.670m);Dir#19(0.670m);Speed#20(0.700m);Dir#20(0.700m);Speed#21(0.730m);Dir#21(0.730m);Speed#22(0.760m);Dir#22(0.760m);Speed#23(0.790m);Dir#23(0.790m);Speed#24(0.820m);Dir#24(0.820m);Speed#25(0.850m);Dir#25(0.850m);Speed#26(0.880m);Dir#26(0.880m);Speed#27(0.910m);Dir#27(0.910m);Speed#28(0.940m);Dir#28(0.940m);Speed#29(0.970m);Dir#29(0.970m);
3/4/2022 18:46:19; 14.8; 47.3; -0.6; -3.7;  0.458; 21.48;    0;    0; 0.0968; 347.34; 0.0880; 287.59; 0.1958; 103.95; 0.0098; 189.94; 0.1526; 212.28; 0.0242; 208.89; 0.1135; 230.18; 0.0740;  47.08; 0.0059; 189.78; 0.0153; 244.44; 0.0418; 242.21; 0.0084;  20.16; 0.1439; 268.37; 0.0137;  48.26; 0.0640;  49.56; 0.0695;  53.66; 0.0163;  55.24; 0.2552;  21.97; 0.0614; 348.73; 0.0188; 176.65; 0.0013; 128.66; 0.0077; 156.11; 0.0033; 164.29; 0.0079; 346.84; 0.0844; 348.58; 0.0130; 171.62; 0.0096; 153.97; 0.0708; 196.82; 0.0548; 160.28;
3/4/2022 18:46:20; 14.8; 47.4; -0.6; -3.7;  0.458; 21.48;    0;    0; 0.1920;  52.28; 0.0521; 294.35; 0.0891; 294.90; 0.0476;  42.19; 0.0375;  48.79; 0.0150; 223.38; 0.0161; 242.16; 0.0724; 227.80; 0.0060; 178.09; 0.0073; 227.78; 0.0151; 323.89; 0.0131; 326.19; 0.0216; 164.16; 0.0706;  49.36; 0.0623; 203.15; 0.0207;  10.60; 0.1744;  46.37; 0.1186; 294.14; 0.1645; 174.10; 0.0150; 328.12; 0.0174; 173.73; 0.0187; 169.83; 0.0031; 300.65; 0.0030; 191.69; 0.0796; 348.25; 0.0190; 168.45; 0.0216;  30.01; 0.1171; 350.06; 0.1540; 164.87;
3/4/2022 18:46:21; 14.8; 47.3; -0.6; -3.7;  0.456; 21.48;    0;    0; 0.0214;  62.72; 0.0200;  52.50; 0.0104; 329.23; 0.0374; 260.92; 0.0200; 122.74; 0.0296; 279.14; 0.0215; 174.40; 0.0179;  52.49; 0.0060; 183.81; 0.0013; 135.00; 0.0274; 192.67; 0.1887; 230.89; 0.0128; 204.56; 0.0023; 160.02; 0.0580;  56.75; 0.0753; 235.11; 0.0706; 223.51; 0.2431; 185.00; 0.1040; 353.32; 0.0219; 350.28; 0.0073; 352.09; 0.0046;  88.75; 0.0061; 104.26; 0.0060; 354.29; 0.0372; 349.47; 0.0152; 347.06; 0.1648; 167.70; 0.0727;  16.37; 0.0687; 317.83;
3/4/2022 18:46:22; 14.8; 47.3; -0.6; -3.7;  0.457; 21.48;    0;    0; 0.0539; 191.35; 0.0042; 170.31; 0.1109; 110.64; 0.0671;  27.90; 0.0892; 257.44; 0.0197; 270.00; 0.0032; 212.20; 0.0047; 180.00; 0.0040; 178.57; 0.0036; 180.00; 0.0178; 282.00; 0.0060; 221.63; 0.0528;  85.65; 0.0114;  63.89; 0.0113; 217.48; 0.0131;   1.31; 0.0091;  64.00; 0.1441;  13.73; 0.0985; 162.32; 0.0125;  35.59; 0.0129; 347.47; 0.0044;  35.84; 0.0040; 132.95; 0.0030;   0.00; 0.0030;   7.59; 0.0388; 344.32; 0.0311;   2.76; 0.0237;  67.66; 0.0904; 167.93;
3/4/2022 18:46:23; 14.8; 47.3; -0.6; -3.7;  0.458; 21.48;    0;    0; 0.1472; 292.99; 0.1039; 269.50; 0.1891; 113.23; 0.0454; 119.56; 0.0366; 318.55; 0.0302; 116.57; 0.0112; 185.10; 0.0149; 220.10; 0.0059; 213.96; 0.0034; 233.47; 0.0193; 333.17; 0.0102; 303.38; 0.0286; 297.46; 0.0120; 181.91; 0.0986;  45.66; 0.0795;  27.82; 0.0243;  45.67; 0.1057; 330.28; 0.1325; 341.29; 0.0086; 181.33; 0.0164; 349.79; 0.0076; 150.72; 0.0016; 194.04; 0.0026; 302.47; 0.0291; 343.87; 0.0133; 328.82; 0.1160; 352.62; 0.0679; 159.75; 0.0438; 206.45;
3/4/2022 18:46:24; 14.8; 47.4; -0.6; -3.7;  0.459; 21.48;    0;    0; 0.0420; 293.57; 0.0636;  20.51; 0.1670; 122.38; 0.1258; 276.62; 0.0684; 283.87; 0.0242; 264.08; 0.0303; 124.11; 0.0277;  57.69; 0.0086; 218.87; 0.0044; 328.13; 0.0117; 243.65; 0.0424; 261.18; 0.0531; 288.33; 0.0057; 227.86; 0.0100; 141.87; 0.1518; 230.77; 0.0394; 227.57; 0.1599;  40.92; 0.0370; 299.13; 0.0696; 350.74; 0.0107;  32.06; 0.0153;  14.76; 0.0024;  73.07; 0.0082; 155.61; 0.0684; 349.30; 0.0155; 349.99; 0.0067;  86.58; 0.1308; 347.46; 0.1702; 345.05;
3/4/2022 18:46:25; 14.8; 47.5; -0.6; -3.7;  0.460; 21.48;    0;    0; 0.0645; 294.46; 0.0552;  51.32; 0.0207; 251.39; 0.0554; 241.91; 0.0169;  98.18; 0.0026;  38.66; 0.0299; 283.94; 0.0414; 233.16; 0.0056; 210.26; 0.0021; 174.56; 0.0298;  50.32; 0.0181;  77.27; 0.0273; 126.37; 0.0044;  53.39; 0.0553; 228.96; 0.2011;  50.10; 0.0120; 243.86; 0.0395; 276.10; 0.0173;  34.61; 0.0179;  16.52; 0.0158; 151.16; 0.0447; 161.73; 0.0013; 112.62; 0.0023; 164.74; 0.0573; 167.71; 0.0332; 169.40; 0.0056; 265.91; 0.0780; 178.09; 0.1508; 177.15;
3/4/2022 18:46:26; 14.8; 47.4; -0.6; -3.7;  0.455; 21.48;    0;    0; 0.0549; 105.20; 0.0504;  89.77; 0.0149; 281.23; 0.0400; 280.80; 0.0599; 253.41; 0.0257;  83.07; 0.0177;  81.23; 0.0069;  43.23; 0.0076; 222.88; 0.0076; 279.83; 0.0408; 239.04; 0.0772; 227.57; 0.0463; 114.63; 0.0771;  40.79; 0.0158; 253.86; 0.0412;  42.64; 0.0089; 216.36; 0.0540; 323.66; 0.1127; 346.77; 0.0112; 354.34; 0.0086; 359.33; 0.0038;  48.24; 0.0011; 217.87; 0.0025; 319.90; 0.0394; 169.46; 0.0478; 345.47; 0.0152; 101.38; 0.0179; 316.13; 0.0690;  14.52;
3/4/2022 18:46:27; 14.8; 47.3; -0.6; -3.7;  0.459; 21.48;    0;    0; 0.0618; 294.78; 0.1527; 104.10; 0.2116; 103.83; 0.0795; 121.37; 0.0864; 115.05; 0.0091; 109.23; 0.0097;  78.69; 0.0175; 232.67; 0.0062; 221.10; 0.0090; 266.82; 0.0154;   7.45; 0.0318;  46.53; 0.1959;  47.11; 0.0061;  28.24; 0.0365;  40.33; 0.0470;  37.14; 0.0200;  42.77; 0.1864;  26.30; 0.0635; 212.46; 0.0048; 105.78; 0.0106;   4.32; 0.0085; 136.91; 0.0002; 116.57; 0.0108; 166.61; 0.0117; 349.65; 0.0323; 167.12; 0.0451; 348.89; 0.0329;  86.34; 0.1113; 336.08;
3/4/2022 18:46:28; 14.8; 47.4; -0.6; -3.7;  0.457; 21.48;    0;    0; 0.1468; 117.16; 0.0517; 176.34; 0.1817; 276.86; 0.1368; 162.73; 0.0183; 136.55; 0.0331; 213.93; 0.0148; 125.94; 0.0269;  42.59; 0.0032; 253.81; 0.0072; 227.25; 0.0128;  25.37; 0.0346; 226.29; 0.1894; 103.37; 0.0371;  55.54; 0.0323;  48.51; 0.0055; 347.47; 0.0672;  42.29; 0.2045; 207.84; 0.0543; 187.94; 0.0396; 352.75; 0.0161;   8.58; 0.0460; 353.14; 0.0006;  45.00; 0.0092; 350.64; 0.0611; 166.94; 0.0150; 172.35; 0.0738; 170.33; 0.0362; 351.11; 0.1935; 181.33;
