"TOA5","SUSTAINpresX4X2","CR6","5764","CR6.Std.10.02","CPU:SUSTAINpressX4X2V10_0907_13Feb2019.CR6","43802","pressure"
"TIMESTAMP","RECORD","Pressure1(1)","Pressure1(2)","Pressure1(3)","Pressure1(4)","Pressure2(1)","Pressure2(2)","Pressure2(3)","Pressure2(4)"
"TS","RN","hPa","hPa","hPa","hPa","hPa","hPa","hPa","hPa"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-03-07 20:00:00.1",4338015,-4.219395,-0.0131422,-7.705569E-05,-0.01734622,1017.798,886.6599,1018.513,1019.445
"2022-03-07 20:00:00.2",4338016,-4.219701,-0.01314292,-4.519056E-05,-0.01696964,1017.792,886.7105,1018.531,1019.434
"2022-03-07 20:00:00.3",4338017,-4.219543,-0.01325155,-4.808739E-05,-0.0171869,1017.807,886.749,1018.524,1019.445
"2022-03-07 20:00:00.4",4338018,-4.219494,-0.01294087,-5.880566E-05,-0.017872,1017.785,886.7776,1018.529,1019.427
"2022-03-07 20:00:00.5",4338019,-4.219582,-0.01324793,-7.097235E-05,-0.01779813,1017.785,886.8063,1018.523,1019.458
"2022-03-07 20:00:00.6",4338020,-4.219445,-0.01358469,-7.213109E-05,-0.01600065,1017.793,886.8162,1018.526,1019.439
"2022-03-07 20:00:00.7",4338021,-4.219469,-0.01345288,-6.981362E-05,-0.01703337,1017.781,886.8446,1018.511,1019.458
"2022-03-07 20:00:00.8",4338022,-4.219533,-0.01333266,-6.025408E-05,-0.01717241,1017.791,886.866,1018.531,1019.429
"2022-03-07 20:00:00.9",4338023,-4.219667,-0.01356079,-8.574619E-05,-0.01710289,1017.809,886.8754,1018.525,1019.454
"2022-03-07 20:00:01",4338024,-4.219463,-0.01384251,-5.677788E-05,-0.01762287,1017.8,886.8805,1018.518,1019.451
"2022-03-07 20:00:01.1",4338025,-4.219642,-0.01338119,-6.604774E-05,-0.01757363,1017.794,886.902,1018.529,1019.446
"2022-03-07 20:00:01.2",4338026,-4.21946,-0.01350865,-7.821443E-05,-0.0175099,1017.797,886.9008,1018.519,1019.45
"2022-03-07 20:00:01.3",4338027,-4.219658,-0.01321824,-7.126204E-05,-0.01702468,1017.785,886.9061,1018.526,1019.446
"2022-03-07 20:00:01.4",4338028,-4.219573,-0.01366435,-7.87938E-05,-0.0169088,1017.803,886.908,1018.526,1019.439
"2022-03-07 20:00:01.5",4338029,-4.219713,-0.01343695,-6.894457E-05,-0.01740706,1017.786,886.92,1018.526,1019.432
"2022-03-07 20:00:01.6",4338030,-4.21958,-0.01342754,-7.87938E-05,-0.01703047,1017.792,886.9232,1018.519,1019.441
"2022-03-07 20:00:01.7",4338031,-4.219624,-0.01343405,-6.633742E-05,-0.01722311,1017.788,886.9207,1018.52,1019.454
"2022-03-07 20:00:01.8",4338032,-4.219684,-0.01347751,-6.691679E-05,-0.0165047,1017.788,886.9139,1018.522,1019.439
"2022-03-07 20:00:01.9",4338033,-4.219541,-0.01337901,-8.198031E-05,-0.01781841,1017.788,886.912,1018.516,1019.449
"2022-03-07 20:00:02",4338034,-4.219468,-0.01379471,-9.24089E-05,-0.01814285,1017.794,886.906,1018.522,1019.451
"2022-03-07 20:00:02.1",4338035,-4.219574,-0.01408657,-6.720647E-05,-0.0164091,1017.796,886.9043,1018.519,1019.441
"2022-03-07 20:00:02.2",4338036,-4.21945,-0.01342102,-9.733351E-05,-0.0180038,1017.786,886.9187,1018.516,1019.452
